"Name";"Region";"Type";"gps"
"Sevran-Beaudottes";"SEVRAN";"rer";"48,9474757538649,2,52483268474858"
"Plaisance";"PARIS-14EME";"metro";"48,8317625860832,2,31406734480211"
"Poissonnière";"PARIS-10EME";"metro";"48,8773395505122,2,34960623902438"
"Poissy";"POISSY";"rer";"48,932949587432,2,04150758378684"
"Pont de Levallois-Bécon";"LEVALLOIS-PERRET";"metro";"48,8971187551468,2,28048941733931"
"Pont de Neuilly";"NEUILLY-SUR-SEINE";"metro";"48,8845093796136,2,25989172465632"
"Pont de Sèvres";"BOULOGNE-BILLANCOURT";"metro";"48,8295929841028,2,23025364790437"
"Pont Marie (Cité des Arts)";"PARIS-04EME";"metro";"48,8533107454827,2,35745881597611"
"Pont Neuf";"PARIS-01ER";"metro";"48,8584022527723,2,3419492358926"
"Port Royal";"PARIS-05EME";"rer";"48,8389863698281,2,3370368298491"
"Porte Dauphine (Maréchal de Lattre de Tassigny)";"PARIS-16EME";"metro";"48,8716448024995,2,2766480745793"
"Porte Dorée";"PARIS-12EME";"metro";"48,8354388891914,2,40601835314784"
"Porte Maillot";"PARIS-17EME";"metro";"48,877964502968,2,28183617255428"
"Porte d'Auteuil";"PARIS-16EME";"metro";"48,8480737822689,2,25864782719393"
"Porte d'Italie";"PARIS-13EME";"metro";"48,8189346110715,2,35985580265649"
"Porte d'Ivry";"PARIS-13EME";"metro";"48,8212704977679,2,36909494392435"
"Porte d'Orléans (Général Leclerc)";"PARIS-14EME";"metro";"48,8226012875276,2,3248055530705"
"Porte de Bagnolet";"PARIS-20EME";"metro";"48,8643963044636,2,40799995272687"
"Porte de Champerret";"PARIS-17EME";"metro";"48,8855507197361,2,29274204089586"
"Porte de Charenton";"PARIS-12EME";"metro";"48,8325258939597,2,39970109937032"
"Porte de Choisy";"PARIS-13EME";"metro";"48,8201452157747,2,36434644526859"
"Porte de Clichy";"PARIS-17EME";"metro";"48,8943611607739,2,31373834333066"
"Porte de Clignancourt";"PARIS-18EME";"metro";"48,8972870603971,2,34477887737988"
"Porte de Montreuil";"PARIS-20EME";"metro";"48,8534495044418,2,41043444867178"
"Porte de Pantin";"PARIS-19EME";"metro";"48,8883327364608,2,39146861403051"
"Porte de Saint-Cloud";"PARIS-16EME";"metro";"48,837888387008,2,25680251499642"
"Porte de Saint-Ouen";"PARIS-18EME";"metro";"48,8972510523147,2,32883766969025"
"Porte de Vanves";"PARIS-14EME";"metro";"48,8276756893336,2,30534014881766"
"Porte de Versailles";"PARIS-15EME";"metro";"48,8324619819728,2,28800279639373"
"Porte de Vincennes";"PARIS-20EME";"metro";"48,8472657113718,2,40888352534985"
"Porte de la Chapelle";"PARIS-18EME";"metro";"48,8980716716703,2,35909154194382"
"Porte de la Villette";"PARIS-19EME";"metro";"48,8978102191863,2,38580611322135"
"Porte des Lilas";"PARIS-20EME";"metro";"48,8770699909204,2,40638582299454"
"Pré-Saint-Gervais";"PARIS-19EME";"metro";"48,8799349564117,2,39907689689178"
"Pyramides";"PARIS-01ER";"metro";"48,8669463020695,2,33366506577888"
"Péreire";"PARIS-17EME";"metro";"48,8845503317922,2,29751704870328"
"Père-Lachaise";"PARIS-11EME";"metro";"48,8626131584417,2,38672181193918"
"Quai de la Gare";"PARIS-13EME";"metro";"48,8373989542089,2,37378388489769"
"Quai de la Rapée";"PARIS-12EME";"metro";"48,8457951983436,2,36703563413483"
"Quatre Septembre";"PARIS-02EME";"metro";"48,8693729306069,2,33574247484458"
"Rambuteau";"PARIS-04EME";"metro";"48,8614000355035,2,35350496222254"
"Mirabeau";"PARIS-16EME";"metro";"48,8473396420235,2,27340595971174"
"Miromesnil";"PARIS-08EME";"metro";"48,8737063841262,2,31519918493339"
"Mitry-Claye";"MITRY-MORY";"rer";"48,9759542168085,2,64254434990252"
"Monceau";"PARIS-08EME";"metro";"48,8806306676395,2,30896624223491"
"Montgallet";"PARIS-12EME";"metro";"48,8442504626131,2,38980213751236"
"Montparnasse-Bienvenue";"PARIS-14EME";"metro";"48,8430428506553,2,32263505110255"
"Mouton-Duvernet";"PARIS-14EME";"metro";"48,8313196995984,2,32942693483694"
"Ménilmontant";"PARIS-11EME";"metro";"48,8659488111593,2,38339427851543"
"Nanterre-Préfecture";"NANTERRE";"rer";"48,8953636025288,2,22340084401069"
"Nanterre-Université";"NANTERRE";"rer";"48,9012605332833,2,21568588975438"
"Nanterre-Ville";"NANTERRE";"rer";"48,8952591631622,2,19580884648601"
"Nation";"PARIS-12EME";"metro";"48,8484657508529,2,39590574441446"
"Nation";"PARIS-12EME";"rer";"48,8483471797456,2,39594992268219"
"Nationale";"PARIS-13EME";"metro";"48,8327104551183,2,36204546183122"
"Neuilly-Plaisance";"NEUILLY-PLAISANCE";"rer";"48,8533527868298,2,51352194233088"
"Nogent-sur-Marne";"NOGENT-SUR-MARNE";"rer";"48,8349751721145,2,47216551811292"
"Noisiel";"NOISIEL";"rer";"48,8434939490491,2,61662827549023"
"Noisy-Champs";"NOISY-LE-GRAND";"rer";"48,8426615529109,2,5780118918472"
"Noisy-le-Grand (Mont d'Est)";"NOISY-LE-GRAND";"rer";"48,8411187758474,2,54793586078871"
"Notre-Dame de Lorette";"PARIS-09EME";"metro";"48,8766256956919,2,33845371043763"
"Notre-Dame des Champs";"PARIS-06EME";"metro";"48,8449178498434,2,32885296806704"
"Oberkampf";"PARIS-11EME";"metro";"48,8645156235565,2,36867423637139"
"Odéon";"PARIS-06EME";"metro";"48,8522489360673,2,33855755823025"
"Opéra";"PARIS-09EME";"metro";"48,8707029411588,2,33180515640395"
"Orsay-Ville";"ORSAY";"rer";"48,6975300700721,2,18236510671545"
"Ourcq";"PARIS-19EME";"metro";"48,8869750224324,2,38602958795457"
"Palais-Royal (Musée du Louvre)";"PARIS-01ER";"metro";"48,8628468217405,2,33581661155912"
"Palaiseau";"PALAISEAU";"rer";"48,7179912720136,2,24646053615073"
"Palaiseau Villebon";"PALAISEAU";"rer";"48,7079438633038,2,23736509678945"
"Parc des Expositions";"VILLEPINTE";"rer";"48,97363401251,2,51436168423185"
"Parc de Sceaux";"ANTONY";"rer";"48,770658015939,2,31031788911288"
"Parmentier";"PARIS-11EME";"metro";"48,8651606067898,2,37584679468414"
"Passy";"PARIS-16EME";"metro";"48,8576333212361,2,28586501138629"
"Pasteur";"PARIS-15EME";"metro";"48,8429383503106,2,31265644504969"
"Pelleport";"PARIS-20EME";"metro";"48,868519874537,2,40135199013901"
"Pernéty";"PARIS-14EME";"metro";"48,8338169001883,2,31766395823272"
"Philippe Auguste";"PARIS-11EME";"metro";"48,8583654720925,2,38938739145325"
"Picpus";"PARIS-12EME";"metro";"48,8452604478542,2,40125516453104"
"Pierre et Marie Curie";"IVRY-SUR-SEINE";"metro";"48,8156836605119,2,3772866229916"
"Pigalle";"PARIS-18EME";"metro";"48,882561788738,2,3377861287237"
"Place Monge (Jardin des Plantes)";"PARIS-05EME";"metro";"48,8431960998294,2,35217845099659"
"Place d'Italie";"PARIS-13EME";"metro";"48,8314061535553,2,35572137338498"
"Place de Clichy";"PARIS-09EME";"metro";"48,8836233668978,2,32730682210252"
"Place des Fêtes";"PARIS-19EME";"metro";"48,8768191471423,2,39347313514395"
"Le Kremlin-Bicêtre";"LE KREMLIN-BICETRE";"metro";"48,8103806352167,2,36161295005801"
"Le Parc de Saint-Maur";"SAINT-MAUR-DES-FOSSES";"rer";"48,805095526587,2,48575027055873"
"Le Peletier";"PARIS-09EME";"metro";"48,8749360634737,2,33980253815072"
"Ledru-Rollin";"PARIS-12EME";"metro";"48,8511941201646,2,37594535235887"
"Les Baconnets";"ANTONY";"rer";"48,7394976208092,2,28732714443584"
"Les Gobelins";"PARIS-13EME";"metro";"48,8366105352574,2,35164217355525"
"Les Halles";"PARIS-01ER";"metro";"48,8621947214515,2,34583626729206"
"Les Sablons (Jardin d'acclimatation)";"NEUILLY-SUR-SEINE";"metro";"48,880901799077,2,27253908542214"
"Liberté";"CHARENTON-LE-PONT";"metro";"48,8258380803412,2,40692557800906"
"Liège";"PARIS-08EME";"metro";"48,8795640572124,2,32651728518985"
"Lognes";"LOGNES";"rer";"48,8390665706901,2,63376007764926"
"Louis Blanc";"PARIS-10EME";"metro";"48,8810261029957,2,3655569576092"
"Louise Michel";"LEVALLOIS-PERRET";"metro";"48,8888292427619,2,28813731087893"
"Lourmel";"PARIS-15EME";"metro";"48,8384881095778,2,28175852328733"
"Louvre-Rivoli";"PARIS-01ER";"metro";"48,8605382946574,2,34100049025543"
"Lozère";"PALAISEAU";"rer";"48,7062113003843,2,21133414998585"
"Luxembourg";"PARIS-05EME";"rer";"48,8459336877987,2,34061361172087"
"Mabillon";"PARIS-06EME";"metro";"48,8528181349058,2,33540928887416"
"Madeleine";"PARIS-08EME";"metro";"48,8700643517776,2,32516370025939"
"Mairie d'Issy";"ISSY-LES-MOULINEAUX";"metro";"48,8248138108686,2,27350399984748"
"Mairie d'Ivry";"IVRY-SUR-SEINE";"metro";"48,8111784269088,2,3838082733405"
"Mairie de Clichy";"CLICHY";"metro";"48,9036594416322,2,30556600125528"
"Mairie de Montreuil";"MONTREUIL";"metro";"48,8623601850863,2,44165620310216"
"Mairie de Saint-Ouen";"SAINT-OUEN";"metro";"48,9120620157054,2,334163015407"
"Mairie des Lilas";"LES LILAS";"metro";"48,8797989953663,2,41623893515656"
"Maison Blanche";"PARIS-13EME";"metro";"48,8226203194274,2,35818867672494"
"Maisons-Laffitte";"MAISONS-LAFFITTE";"rer";"48,9457774568645,2,14417081726773"
"Malesherbes";"PARIS-17EME";"metro";"48,8828147397743,2,30969409432085"
"Marcadet-Poissonniers";"PARIS-18EME";"metro";"48,8908769929214,2,34983707163005"
"Marcel Sembat";"BOULOGNE-BILLANCOURT";"metro";"48,8339143012262,2,24408138767048"
"Marne-la-Vallée Chessy";"CHESSY";"rer";"48,8714327360736,2,78308875356856"
"Marx-Dormoy";"PARIS-18EME";"metro";"48,8903020649568,2,36020584275635"
"Massy-Palaiseau";"MASSY";"rer";"48,7244896946069,2,25881199978123"
"Massy-Verrières";"MASSY";"rer";"48,7349219316976,2,27344437083096"
"Maubert-Mutualité";"PARIS-05EME";"metro";"48,8499086729718,2,34850342965801"
"Michel Bizot";"PARIS-12EME";"metro";"48,8367033669768,2,40296916074156"
"Michel-Ange-Auteuil";"PARIS-16EME";"metro";"48,8477403459598,2,2642974417474"
"Michel-Ange-Molitor";"PARIS-16EME";"metro";"48,844867436543,2,26204786419272"
"Gare d'Austerlitz";"PARIS-13EME";"metro";"48,8431055832182,2,36431304776095"
"Gare de Lyon";"PARIS-12EME";"metro";"48,8447045447661,2,37406590796834"
"Gare de Lyon";"PARIS-12EME";"rer";"48,844757269576,2,37407229997982"
"Gare de l'Est (Verdun)";"PARIS-10EME";"metro";"48,8760613055252,2,35791867724751"
"Gare du Nord";"PARIS-10EME";"metro";"48,8799654432891,2,35470307836603"
"Gare du Nord";"PARIS-10EME";"rer";"48,8800360157373,2,35454912540286"
"Garibaldi";"SAINT-OUEN";"metro";"48,9060316197727,2,33173327604333"
"Gentilly";"GENTILLY";"rer";"48,815573502265,2,340738666424"
"George V";"PARIS-08EME";"metro";"48,8719825731694,2,30046268343343"
"Gif-sur-Yvette";"GIF-SUR-YVETTE";"rer";"48,6985407790816,2,13695473827724"
"Glacière";"PARIS-13EME";"metro";"48,8313647071449,2,34393889430969"
"Goncourt (Hôpital Saint-Louis)";"PARIS-10EME";"metro";"48,8696803933807,2,3712726500969"
"La Défense (Grande Arche)";"PUTEAUX";"metro";"48,8919344692345,2,23788279833084"
"Guy-Môquet";"PARIS-18EME";"metro";"48,8924675161233,2,32722675495985"
"Havre-Caumartin";"PARIS-09EME";"metro";"48,8733427700542,2,3285077502868"
"Hoche";"PANTIN";"metro";"48,89131656361,2,4031974142363"
"Houilles Carrières-sur-Seine";"HOUILLES";"rer";"48,9205654395172,2,18501201400329"
"Hôtel de Ville";"PARIS-04EME";"metro";"48,8567695272423,2,35149453979435"
"Invalides";"PARIS-07EME";"metro";"48,8616865404563,2,31435704324728"
"Iéna";"PARIS-16EME";"metro";"48,8644728971468,2,29379995911415"
"Jacques-Bonsergent";"PARIS-10EME";"metro";"48,8709749040173,2,36053788394075"
"Jasmin";"PARIS-16EME";"metro";"48,8523396005309,2,26790681383725"
"Jaurès";"PARIS-19EME";"metro";"48,8825437461168,2,37023181919226"
"Javel-André-Citroen";"PARIS-15EME";"metro";"48,8461034637876,2,27845497841475"
"Joinville-le-Pont";"JOINVILLE-LE-PONT";"rer";"48,8210036989683,2,46386201370801"
"Jourdain";"PARIS-20EME";"metro";"48,8751674276782,2,38919309981893"
"Jules Joffrin";"PARIS-18EME";"metro";"48,8924519921638,2,34446469630622"
"Jussieu";"PARIS-05EME";"metro";"48,8458380895278,2,35469159842714"
"Kléber";"PARIS-16EME";"metro";"48,8710948130145,2,29307915421584"
"La Chapelle";"PARIS-10EME";"metro";"48,8839663987791,2,35849962591676"
"La Courneuve-8-Mai-1945";"LA COURNEUVE";"metro";"48,9209043594324,2,41045542691904"
"La Croix-de-Berny";"ANTONY";"rer";"48,7619694674283,2,30410934209306"
"La Défense (Grande Arche)";"PUTEAUX";"rer";"48,8918864543149,2,23778294157316"
"La Fourche";"PARIS-17EME";"metro";"48,8873918956469,2,32603867708385"
"La Hacquinière";"BURES-SUR-YVETTE";"rer";"48,6949629337936,2,15338410493974"
"La Motte-Picquet-Grenelle";"PARIS-15EME";"metro";"48,8491605024288,2,29794929910712"
"La Muette";"PARIS-16EME";"metro";"48,8579377398982,2,27411706697758"
"La Plaine-Stade de France";"SAINT-DENIS";"rer";"48,917766296082,2,3617043556853"
"La Varenne-Chennevières";"SAINT-MAUR-DES-FOSSES";"rer";"48,7948325765358,2,51291857633747"
"Lamarck-Caulaincourt";"PARIS-18EME";"metro";"48,8897560451806,2,33889013654466"
"Laplace";"ARCUEIL";"rer";"48,807924912672,2,3334990531545"
"Laumière";"PARIS-19EME";"metro";"48,8850422341423,2,37959555319814"
"Le Bourget";"LE BOURGET";"rer";"48,9308927557322,2,42587143446615"
"Le Guichet";"ORSAY";"rer";"48,7047418078257,2,1917819885305"
"Concorde";"PARIS-08EME";"metro";"48,8661829960462,2,32329987838179"
"Convention";"PARIS-15EME";"metro";"48,8374696207371,2,29689958279762"
"Corentin-Cariou";"PARIS-19EME";"metro";"48,8949061258374,2,38244550268222"
"Corentin-Celton";"ISSY-LES-MOULINEAUX";"metro";"48,8272434444069,2,27930670368976"
"Corvisart";"PARIS-13EME";"metro";"48,8296116848646,2,34943832730731"
"Courcelle-sur-Yvette";"GIF-SUR-YVETTE";"rer";"48,7002331731339,2,09936095415186"
"Courcelles";"PARIS-08EME";"metro";"48,8792362487704,2,30360515293852"
"Couronnes";"PARIS-11EME";"metro";"48,8689698757764,2,379868518699"
"Crimée";"PARIS-19EME";"metro";"48,8906811625612,2,37681528901738"
"Croix-de-Chavaux (Jacques Duclos)";"MONTREUIL";"metro";"48,8579269412394,2,43609830308268"
"Créteil-L'Echat (Hôpital Henri Mondor)";"CRETEIL";"metro";"48,7964623870188,2,44906187102647"
"Créteil-Préfecture (Hôtel de Ville)";"CRETEIL";"metro";"48,7797484034104,2,45914426746537"
"Créteil-Université";"CRETEIL";"metro";"48,7893506910917,2,45144739751129"
"Danube";"PARIS-19EME";"metro";"48,8820231366362,2,39270205235331"
"Daumesnil (Félix Eboué)";"PARIS-12EME";"metro";"48,8393629125482,2,39584590805199"
"Denfert-Rochereau";"PARIS-14EME";"metro";"48,8335919035577,2,33189346001924"
"Denfert-Rochereau";"PARIS-14EME";"rer";"48,8335919035577,2,33189346001924"
"Drancy";"DRANCY";"rer";"48,9329703064405,2,45518777598418"
"Dugommier";"PARIS-12EME";"metro";"48,8389122332307,2,38895257216093"
"Dupleix";"PARIS-15EME";"metro";"48,8508056365633,2,29276958714394"
"Duroc";"PARIS-07EME";"metro";"48,8467835319339,2,31672285703746"
"Ecole Militaire";"PARIS-07EME";"metro";"48,8545185488095,2,30554381574733"
"Edgar-Quinet";"PARIS-14EME";"metro";"48,8403339877984,2,3261713916465"
"Eglise d'Auteuil";"PARIS-16EME";"metro";"48,8471813581933,2,26890098784783"
"Eglise de Pantin";"PANTIN";"metro";"48,8931139820403,2,4132856807878"
"Esplanade de la Défense";"PUTEAUX";"metro";"48,8878431218385,2,25044232471912"
"Etienne Marcel";"PARIS-01ER";"metro";"48,8634946589771,2,34866984004444"
"Europe";"PARIS-08EME";"metro";"48,8787098768874,2,32282484061213"
"Exelmans";"PARIS-16EME";"metro";"48,8424273376123,2,25973661579866"
"Faidherbe-Chaligny";"PARIS-11EME";"metro";"48,8502384503522,2,3842745805324"
"Falguière";"PARIS-15EME";"metro";"48,844637894177,2,31749646866691"
"Filles du Calvaire";"PARIS-03EME";"metro";"48,8633028923386,2,36645313804373"
"Fontaine-Michalon";"ANTONY";"rer";"48,7437886832867,2,29698589922482"
"Fontenay-aux-Roses";"FONTENAY-AUX-ROSES";"rer";"48,7877115245683,2,29164025123294"
"Fontenay-sous-Bois";"FONTENAY-SOUS-BOIS";"rer";"48,8437625064903,2,46465286127281"
"Fort d'Aubervilliers";"AUBERVILLIERS";"metro";"48,9146921997335,2,40417710143886"
"Franklin-Roosevelt";"PARIS-08EME";"metro";"48,8693052290337,2,30830876470644"
"Félix Faure";"PARIS-15EME";"metro";"48,8429772288923,2,29199788824605"
"Gaité";"PARIS-14EME";"metro";"48,8384911503461,2,32258277982791"
"Gallieni (Parc de Bagnolet)";"BAGNOLET";"metro";"48,8633345779424,2,41568260426712"
"Gambetta";"PARIS-20EME";"metro";"48,8648347782704,2,39846223866212"
"Bourse";"PARIS-02EME";"metro";"48,8687976838596,2,34123268333609"
"Brochant";"PARIS-17EME";"metro";"48,8903794211931,2,32002765158099"
"Bry-sur-Marne";"BRY-SUR-MARNE";"rer";"48,844336863334,2,52618908361756"
"Bréguet-Sabin";"PARIS-11EME";"metro";"48,8565162145681,2,3709371333348"
"Bures-sur-Yvette";"BURES-SUR-YVETTE";"rer";"48,6959214088611,2,16311619600879"
"Bussy-Saint-Georges";"BUSSY-SAINT-GEORGES";"rer";"48,8368591172941,2,70933817857896"
"Buttes-Chaumont";"PARIS-19EME";"metro";"48,8777769835483,2,38112931956877"
"Buzenval";"PARIS-20EME";"metro";"48,8517360615634,2,40102482535231"
"Bérault";"VINCENNES";"metro";"48,8453342425325,2,42923849792977"
"Cadet";"PARIS-09EME";"metro";"48,875475187116,2,34305895381275"
"Cambronne";"PARIS-15EME";"metro";"48,8474563362776,2,30180780419231"
"Campo-Formio";"PARIS-13EME";"metro";"48,8357759721732,2,35815314107711"
"Cardinal-Lemoine";"PARIS-05EME";"metro";"48,8463912485782,2,35147807315592"
"Censier-Daubenton";"PARIS-05EME";"metro";"48,8405358795008,2,35142881208972"
"Champigny";"SAINT-MAUR-DES-FOSSES";"rer";"48,8069335508721,2,51014171730796"
"Champs-Elysées-Clémenceau";"PARIS-08EME";"metro";"48,8674114214171,2,31395945009909"
"Chardon-Lagache";"PARIS-16EME";"metro";"48,8447174018404,2,26654168725371"
"Charenton-Ecoles";"CHARENTON-LE-PONT";"metro";"48,8213638104296,2,41407434683562"
"Charles Michels";"PARIS-15EME";"metro";"48,8463362741362,2,28633238561987"
"Charles de Gaulle-Etoile";"PARIS-08EME";"metro";"48,8744076036605,2,29576268419708"
"Charles de Gaulle-Etoile";"PARIS-17EME";"rer";"48,8740492791887,2,2948251383744"
"Charonne";"PARIS-11EME";"metro";"48,8547662371484,2,38527064782"
"Chatou-Croissy";"CHATOU";"rer";"48,8852963322756,2,15514835431857"
"Chaussée d'Antin (La Fayette)";"PARIS-09EME";"metro";"48,8728970365659,2,33350116136944"
"Chemin Vert";"PARIS-03EME";"metro";"48,8575640614859,2,36793452563335"
"Chevaleret";"PARIS-13EME";"metro";"48,8344079354527,2,36716524071823"
"Château Rouge";"PARIS-18EME";"metro";"48,8871760670966,2,34982663344309"
"Château d'Eau";"PARIS-10EME";"metro";"48,8725890109106,2,35547036877069"
"Château de Vincennes";"VINCENNES";"metro";"48,8445363116503,2,43950970545674"
"Château Landon";"PARIS-10EME";"metro";"48,8783126784077,2,36229890860251"
"Châtelet";"PARIS-01ER";"metro";"48,8585195221426,2,34711940104787"
"Chatelet-Les Halles";"PARIS-01ER";"rer";"48,8611491276514,2,34663294001898"
"Châtillon Montrouge";"CHATILLON";"metro";"48,8103147675511,2,30124802198432"
"Cité";"PARIS-04EME";"metro";"48,8553252686098,2,34676127455481"
"Cité Universitaire";"PARIS-14EME";"rer";"48,8199505116218,2,34098394909947"
"Colonel Fabien";"PARIS-10EME";"metro";"48,8779422921331,2,37014713779616"
"Commerce";"PARIS-15EME";"metro";"48,844811191807,2,29335345012085"
"Abbesses";"PARIS-18EME";"metro";"48,8844176451841,2,33871281165883"
"Alexandre-Dumas";"PARIS-11EME";"metro";"48,8561744489676,2,3949898158233"
"Alma-Marceau";"PARIS-16EME";"metro";"48,864646030374,2,30088336611739"
"Alésia";"PARIS-14EME";"metro";"48,828398514348,2,32674567371924"
"Anatole-France";"LEVALLOIS-PERRET";"metro";"48,8924723754181,2,285373878396"
"Antony";"ANTONY";"rer";"48,7550073109313,2,30120477822829"
"Anvers";"PARIS-18EME";"metro";"48,8831322902739,2,34397282520569"
"Arcueil-Cachan";"CACHAN";"rer";"48,7989637452115,2,3278264234916"
